signal_category,ABSENT,WEAK,MODERATE,STRONG
ABSENT,0.902015113350126,0.9126679462571977,0.4067796610169492,1.0
WEAK,0.7793068297655453,0.5076810534016094,0.07231920199501247,0.0
MODERATE,0.0706713780918728,0.0072507552870090634,0.0,0.0
STRONG,0.0,0.0,0.0,0.0
