track_id,display_name,delta,track_type,ref_val,alt_val,abs_delta,rank
ENCSR660WQO,"CD4-positive, alpha-beta memory T cell | Histone ChIP-s",0.00390625,BigWig,0.625,0.62890625,0.00390625,2817
ENCSR223APP,"CD4-positive, alpha-beta memory T cell | Histone ChIP-s",0.00390625,BigWig,0.703125,0.70703125,0.00390625,2818
ENCSR681OSD,"CD8-positive, alpha-beta T cell | Histone ChIP-seq | H3",-0.00390625,BigWig,0.67578125,0.671875,0.00390625,2819
ENCSR631BPS,"CD8-positive, alpha-beta T cell | Histone ChIP-seq | H3",-0.00390625,BigWig,0.68359375,0.6796875,0.00390625,2820
ENCSR660KHZ,"CD8-positive, alpha-beta T cell | Histone ChIP-seq | H3",0.00390625,BigWig,0.62890625,0.6328125,0.00390625,2821
ENCSR815PSO,"CD8-positive, alpha-beta T cell | Histone ChIP-seq | H3",0.00390625,BigWig,0.60546875,0.609375,0.00390625,2822
ENCSR040DGJ,T-cell | DNase-seq,0.00390625,BigWig,0.734375,0.73828125,0.00390625,2823
ENCSR920EOT,T-cell | Histone ChIP-seq | H3K27me3,-0.00390625,BigWig,0.98828125,0.984375,0.00390625,2824
ENCSR974EGY,T-cell | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.54296875,0.546875,0.00390625,2825
ENCSR678RCY,T-helper 17 cell | Histone ChIP-seq | H3K9me3,0.00390625,BigWig,0.6640625,0.66796875,0.00390625,2826
ENCSR000ART,astrocyte | Histone ChIP-seq | H3K9ac,0.00390625,BigWig,0.69921875,0.703125,0.00390625,2827
ENCSR000DXH,bronchial epithelial cell | Histone ChIP-seq | H3K36me3,-0.00390625,BigWig,0.953125,0.94921875,0.00390625,2828
ENCSR856NXV,cardiac fibroblast | DNase-seq,-0.00390625,BigWig,0.60546875,0.6015625,0.00390625,2829
ENCSR639ZJI,"common myeloid progenitor, CD34-positive | DNase-seq",-0.00390625,BigWig,0.71875,0.71484375,0.00390625,2830
ENCSR311OCP,"common myeloid progenitor, CD34-positive | Histone ChIP",-0.00390625,BigWig,0.90625,0.90234375,0.00390625,2831
ENCSR458PCE,"common myeloid progenitor, CD34-positive | Histone ChIP",-0.00390625,BigWig,0.73828125,0.734375,0.00390625,2832
ENCSR136QKZ,"common myeloid progenitor, CD34-positive | Histone ChIP",0.00390625,BigWig,0.6015625,0.60546875,0.00390625,2833
