concordance,3' UTR,Benign / Neutral / None,Frameshift,Missense / Protein function,Nonsense / Truncation / NMD,Other / Unclassified,Pharmacogenomic,Regulatory / Transcriptional,Sequence constraint / Conservation,Splicing,Start codon / Initiation / ORF,Stop-loss / Protein extension,UTR,Uncertain / Unknown
CONCORDANT,0.00020120724346076458,0.17766599597585514,0.01790744466800805,0.45814889336016096,0.1419517102615694,0.060663983903420524,0.0016096579476861167,0.013480885311871227,0.05975855130784708,0.044668008048289735,0.022233400402414488,0.0003018108651911469,0.00010060362173038229,0.0013078470824949698
DISCORDANT,0.0,0.0069157971366173255,0.20371269109439458,0.1351613685998544,0.5751031303081776,0.015894200436787187,0.0,0.0036398932297985924,0.002911914583838874,0.012860956078621694,0.040524144625091,0.0032759039068187335,0.0,0.0
PARTIAL,0.0,0.006658130601792573,0.11882202304737516,0.18386683738796414,0.5892445582586427,0.01997439180537772,0.0,0.009218950064020487,0.0046094750320102434,0.04353393085787452,0.020998719590268885,0.0030729833546734955,0.0,0.0
