row,DISCORDANT,PARTIAL,CONCORDANT,NOT_APPLICABLE
ABSENT,0.797847585805701,0.1082024432809773,0.0939499709133217,0.0
WEAK,0.327859649122807,0.31242105263157893,0.35971929824561405,0.0
MODERATE,0.0380952380952381,0.15615453728661277,0.8057502246181492,0.0
STRONG,0.004357298474945534,0.01699346405228758,0.9786492374727669,0.0
