concordance,3' UTR,Benign / Neutral / None,Frameshift,Missense / Protein function,Nonsense / Truncation / NMD,Other / Unclassified,Pharmacogenomic,Regulatory / Transcriptional,Sequence constraint / Conservation,Splicing,Start codon / Initiation / ORF,Stop-loss / Protein extension,Uncertain / Unknown
CONCORDANT,0.00013070186903672723,0.1815448960920141,0.0,0.5914259573911907,0.005750882237615998,0.06208338779244543,0.0020912299045876357,0.017121944843811267,0.07136322049405307,0.039341262580054895,0.02823160371193308,0.00026140373807345446,0.0006535093451836362
DISCORDANT,0.0,0.04596774193548387,0.0,0.8653225806451613,0.0024193548387096775,0.01532258064516129,0.0,0.02258064516129032,0.016935483870967744,0.031451612903225803,0.0,0.0,0.0
PARTIAL,0.0,0.02905027932960894,0.0011173184357541898,0.7675977653631285,0.0033519553072625698,0.026815642458100558,0.0,0.03910614525139665,0.01564245810055866,0.10949720670391061,0.00782122905027933,0.0,0.0
