primary_signal_mechanism,count
Start codon / Initiation / ORF,1519
Other / Unclassified,366
MLM / Sequence-constraint signal,203
Splicing,101
Benign / Neutral / None,69
Regulatory / Expression,19
Nonsense / Truncation / NMD,12
