concordance,3' UTR,Benign / Neutral / None,Frameshift,Missense / Protein function,Nonsense / Truncation / NMD,Other / Unclassified,Regulatory / Transcriptional,Sequence constraint / Conservation,Splicing,Start codon / Initiation / ORF,Stop-loss / Protein extension,UTR,Uncertain / Unknown
CONCORDANT,0.00043687199650502403,0.16470074268239407,0.07776321537789428,0.012669287898645697,0.5972040192223679,0.055919615552643076,0.001310615989515072,0.020969855832241154,0.06247269550021844,0.00218435998252512,0.00043687199650502403,0.00043687199650502403,0.0034949759720401923
DISCORDANT,0.0,0.0,0.23978863181948015,0.005855469865752642,0.6765209940017138,0.01599542987717795,0.00028563267637817766,0.0004284490145672665,0.009568694658668952,0.04770065695515567,0.0038560411311053984,0.0,0.0
PARTIAL,0.0,0.0,0.15382059800664452,0.010299003322259137,0.7634551495016612,0.017940199335548173,0.0003322259136212625,0.00132890365448505,0.023920265780730896,0.024916943521594685,0.003986710963455149,0.0,0.0
