,"ABSENT
DISCORDANT
(n=522)","ABSENT
PARTIAL
(n=93)","ABSENT
CONCORDANT
(n=1592)","ABSENT
NOT_APPLICABLE
(n=0)","WEAK
DISCORDANT
(n=521)","WEAK
PARTIAL
(n=303)","WEAK
CONCORDANT
(n=3099)","WEAK
NOT_APPLICABLE
(n=0)","MODERATE
DISCORDANT
(n=188)","MODERATE
PARTIAL
(n=479)","MODERATE
CONCORDANT
(n=2721)","MODERATE
NOT_APPLICABLE
(n=0)","STRONG
DISCORDANT
(n=9)","STRONG
PARTIAL
(n=20)","STRONG
CONCORDANT
(n=239)","STRONG
NOT_APPLICABLE
(n=0)"
GPN-MSA,-0.10385162934526371,0.04235938333480923,0.24260985155726908,,-0.13167798675735526,0.012869789685134726,0.25411552691336753,,-0.6567298957765099,-0.0862716186573585,0.18852077575168136,,0.06666666666666667,0.09924812030075188,0.07795034345480586,
CADD,-0.04384839615218429,0.001417445018053773,0.1957086190521796,,-0.055927864356615425,-0.06795844275957745,0.19380336079053248,,-0.563789152024446,-0.14491706047291691,0.07914443181282634,,-0.13333333333333333,0.1639097744360902,0.12840265813438345,
phyloP-100v,-0.05921760228822359,0.08927931964584093,0.1622860573917377,,-0.08419990288507606,-0.08925169231866165,0.15684298047387163,,-0.5443269328096307,-0.18400250012905472,0.07165819305155695,,0.0,0.10375939849624059,0.13160402279922828,
phyloP-241m,-0.02842811505102266,0.010318354469850806,0.16215007884343124,,-0.05213660791782944,-0.22005965118622062,0.1753535505569807,,-0.4605350436015565,-0.17790230733263118,0.14456358947932169,,0.08333333333333334,-0.007518796992481202,0.2553229651394104,
phastCons-100v,-0.13559964979267566,-0.02520692248179132,0.14906004864345093,,-0.02553167228573221,-0.2126045033203147,0.1579974382589911,,-0.5508923239849863,-0.19507516696126792,0.09433012151368718,,0.06666666666666667,0.02742042485535409,0.1330656760801956,
ESM-1b,-0.05272995549138609,0.0243502133627764,0.20701377683649214,,-0.043020078449118135,-0.08390188638911912,0.2382183110400993,,-0.6080120616032217,-0.21149856002566342,0.15494065037142035,,0.28571428571428575,-0.11879699248120301,0.03895468946126333,
NT,0.03091657600404556,-0.041046223628062414,0.19604623821217743,,0.06766166004940298,0.17902257693009205,0.21203931802410267,,-0.021377732266343027,0.21006629921122283,0.18627516298038302,,0.5833333333333334,0.17142857142857143,0.0544961499244049,
HyenaDNA,0.07898624250367352,0.140850433776347,0.13079463254189216,,0.06718611359699789,0.24346986047642227,0.18970575755386565,,0.08927341004055012,0.23699758137964466,0.19189249512441334,,0.43333333333333335,0.2421963315316845,0.26240677072968016,
