row,DISCORDANT,PARTIAL,CONCORDANT,NOT_APPLICABLE
ABSENT,0.5393939393939394,0.1303030303030303,0.3303030303030303,0.0
WEAK,0.22716627634660422,0.1595851455336233,0.6132485781197725,0.0
MODERATE,0.03967065868263473,0.07609780439121756,0.8842315369261478,0.0
STRONG,0.004322766570605188,0.008645533141210375,0.9870317002881844,0.0
