Feature,N_Pathogenic,N_Benign,Median_Pathogenic,Median_Benign,Mean_Pathogenic,Mean_Benign,Mann_Whitney_p,Effect_Size_r
LLR,6932,2854,-1.2880443843071332,-1.322648965594416,-1.3002984324227893,-1.310465118622343,0.6440938312671607,0.005932492273526213
MLM_Delta,6932,2854,-0.2013382390141487,-0.23981697671115398,-0.24909143376220383,-0.26905456581116927,0.00040803212592322997,0.04539179479423905
MLM_KL_mean,18697,3390,0.1504981964826584,0.3048032224178314,0.19603298271869382,0.3116762953474632,9.935098095889538e-226,-0.34569606626905114
MLM_KL_max,18697,3390,0.2507830262184143,0.3194354325532913,0.29249455597297463,0.3280077710458076,5.543447035754359e-53,-0.16512635993059954
