primary_signal_mechanism,DISCORDANT,PARTIAL,CONCORDANT,NOT_APPLICABLE
MLM / Sequence-constraint signal,0.8140398245021937,0.1517043536955788,0.03425582180222747,0.0
Start codon / Initiation / ORF,0.05985915492957746,0.494424882629108,0.44571596244131456,0.0
Other / Unclassified,0.6482084690553745,0.11335504885993486,0.23843648208469057,0.0
Benign / Neutral / None,0.9281997918834547,0.0,0.07180020811654526,0.0
Splicing,0.10588235294117647,0.4980392156862745,0.396078431372549,0.0
Regulatory / Expression,0.3089005235602094,0.5916230366492147,0.09947643979057591,0.0
Nonsense / Truncation / NMD,0.04,0.48,0.48,0.0
