signal_category,ABSENT,WEAK,MODERATE,STRONG
ABSENT,0.0,0.04753820033955857,0.061016949152542375,0.00558659217877095
WEAK,0.045454545454545456,0.12889983579638753,0.07184241019698726,0.009900990099009901
MODERATE,0.4965986394557823,0.4691588785046729,0.09003831417624521,0.008849557522123894
STRONG,0.11764705882352941,0.22413793103448276,0.031746031746031744,0.0
