track,reference,stat,lo,hi
D_BED_protein_coding_gene,all,std,-0.01408601483442986,0.012008081336091214
D_BED_protein_coding_gene,all,mad,-0.005210518836975098,0.00466078519821167
D_BED_protein_coding_gene,benign,std,-0.01189027400772533,0.011519754107333323
D_BED_protein_coding_gene,benign,mad,-0.005148142576217651,0.005000263452529907
D_BED_lncRNA,all,std,-0.012525893258033882,0.011298749391332769
D_BED_lncRNA,all,mad,-0.005642682313919067,0.004713654518127441
D_BED_lncRNA,benign,std,-0.01066993599108209,0.010055042526591128
D_BED_lncRNA,benign,mad,-0.005298592150211334,0.004646666347980499
D_BED_exon,all,std,-0.052824518008649096,0.042023147780731476
D_BED_exon,all,mad,-0.006239667534828186,0.00452733039855957
D_BED_exon,benign,std,-0.024604868873363776,0.02185162966079018
D_BED_exon,benign,mad,-0.005977503955364227,0.004938483238220215
D_BED_intron,all,std,-0.03750963509969801,0.04894547599947395
D_BED_intron,all,mad,-0.008134037256240845,0.011021941900253296
D_BED_intron,benign,std,-0.021054228883571887,0.02334308493544209
D_BED_intron,benign,mad,-0.007261067628860474,0.008321508765220642
D_BED_splice_donor,all,std,-0.0463428133733545,0.03788486388467824
D_BED_splice_donor,all,mad,-0.012784305028617382,0.008500116877257824
D_BED_splice_donor,benign,std,-0.022857497256146893,0.020121627323517695
D_BED_splice_donor,benign,mad,-0.012171946465969086,0.008993826806545258
D_BED_splice_acceptor,all,std,-0.019842390027145284,0.020094386792048214
D_BED_splice_acceptor,all,mad,-0.006395014002919197,0.007069973275065422
D_BED_splice_acceptor,benign,std,-0.015004813247711274,0.015411716066253852
D_BED_splice_acceptor,benign,mad,-0.006298263557255268,0.006658957339823246
D_BED_CTCF-bound,all,std,-0.011229650148898833,0.011359633203804372
D_BED_CTCF-bound,all,mad,-0.0023228314239531755,0.002378641627728939
D_BED_CTCF-bound,benign,std,-0.0110039161499076,0.011010070808493155
D_BED_CTCF-bound,benign,mad,-0.002147453371435404,0.0021778675727546215
D_BED_polyA_signal,all,std,-0.022323717983139833,0.03074797362846103
D_BED_polyA_signal,all,mad,-0.010159030556678772,0.0238117016851902
D_BED_polyA_signal,benign,std,-0.025456971899603394,0.030625895029638438
D_BED_polyA_signal,benign,mad,-0.01431332528591156,0.025179941207170486
D_BED_enhancer_Tissue_specific,all,std,-0.03196636305829286,0.032123059082123144
D_BED_enhancer_Tissue_specific,all,mad,-0.010961506515741348,0.010460052639245987
D_BED_enhancer_Tissue_specific,benign,std,-0.029242351227512276,0.02890218530077374
D_BED_enhancer_Tissue_specific,benign,mad,-0.009444138035178185,0.009022543206810951
D_BED_enhancer_Tissue_invariant,all,std,-0.013643052738367694,0.014570932454120286
D_BED_enhancer_Tissue_invariant,all,mad,-0.004030449315905571,0.004403909668326378
D_BED_enhancer_Tissue_invariant,benign,std,-0.010969255240147607,0.011379513859319079
D_BED_enhancer_Tissue_invariant,benign,mad,-0.0033520804718136787,0.00342731736600399
D_BED_promoter_Tissue_specific,all,std,-0.015332594056345399,0.016288150662455106
D_BED_promoter_Tissue_specific,all,mad,-0.004690079018473625,0.0052603501826524734
D_BED_promoter_Tissue_specific,benign,std,-0.012984868890880394,0.013697966122438014
D_BED_promoter_Tissue_specific,benign,mad,-0.004418924450874329,0.004651952534914017
D_BED_promoter_Tissue_invariant,all,std,-0.007909783938108334,0.0072524530114227775
D_BED_promoter_Tissue_invariant,all,mad,-0.002757186070084572,0.0023878905922174454
D_BED_promoter_Tissue_invariant,benign,std,-0.006177862698552738,0.0058180285894063035
D_BED_promoter_Tissue_invariant,benign,mad,-0.002370685338973999,0.002192910760641098
D_BED_5UTR+,all,std,-0.020248240239162312,0.02144189017580202
D_BED_5UTR+,all,mad,-0.004542944021522999,0.004733147099614143
D_BED_5UTR+,benign,std,-0.014891325194870129,0.014612697154179217
D_BED_5UTR+,benign,mad,-0.004402466118335724,0.00425284169614315
D_BED_5UTR-,all,std,-0.018133727824943758,0.02002063003608433
D_BED_5UTR-,all,mad,-0.004272672347724438,0.004472554661333561
D_BED_5UTR-,benign,std,-0.014091483375742868,0.013912968410085968
D_BED_5UTR-,benign,mad,-0.004226698540151119,0.004125721752643585
D_BED_3UTR+,all,std,-0.011903951362693148,0.012022321623561432
D_BED_3UTR+,all,mad,-0.003199322149157524,0.0034782234579324722
D_BED_3UTR+,benign,std,-0.009825173730732922,0.010058841590447003
D_BED_3UTR+,benign,mad,-0.0031600920483469963,0.0032634614035487175
D_BED_3UTR-,all,std,-0.01109541522229931,0.011296012993234445
D_BED_3UTR-,all,mad,-0.0028624804690480232,0.0030141687020659447
D_BED_3UTR-,benign,std,-0.00867226751670075,0.008691626356612211
D_BED_3UTR-,benign,mad,-0.0024731047451496124,0.0024898722767829895
D_BED_skipped_exon,all,std,-0.03552357497302441,0.031246396533812476
D_BED_skipped_exon,all,mad,-0.008757263422012329,0.007660895586013794
D_BED_skipped_exon,benign,std,-0.023080050018482165,0.02093509672080815
D_BED_skipped_exon,benign,mad,-0.007205799221992493,0.0065191686153411865
D_BED_always_on_exon,all,std,-0.03998786801467621,0.03375214177070105
D_BED_always_on_exon,all,mad,-0.008854180574417114,0.008184671401977539
D_BED_always_on_exon,benign,std,-0.021951822777439893,0.020883208755549006
D_BED_always_on_exon,benign,mad,-0.0076411813497543335,0.00715656578540802
D_BED_start_codon,all,std,-0.05462256079657819,0.04695565596235024
