primary_signal_mechanism,count
MLM / Sequence-constraint signal,4312
Benign / Neutral / None,1471
Regulatory / Expression,681
Other / Unclassified,599
Start codon / Initiation / ORF,311
Splicing,230
Uncertain / Unknown,33
Nonsense / Truncation / NMD,14
