primary_signal_mechanism,count
MLM / Sequence-constraint signal,370
Regulatory / Expression,295
Other / Unclassified,168
Start codon / Initiation / ORF,32
Splicing,28
Nonsense / Truncation / NMD,1
Uncertain / Unknown,1
