primary_signal_mechanism,count
MLM / Sequence-constraint signal,4515
Start codon / Initiation / ORF,1830
Benign / Neutral / None,1540
Other / Unclassified,965
Regulatory / Expression,700
Splicing,331
Uncertain / Unknown,33
Nonsense / Truncation / NMD,26
