primary_signal_mechanism,count
MLM / Sequence-constraint signal,4891
Benign / Neutral / None,1298
Other / Unclassified,1228
Regulatory / Expression,298
Uncertain / Unknown,258
Start codon / Initiation / ORF,233
Splicing,35
Nonsense / Truncation / NMD,1
