primary_signal_mechanism,count
Start codon / Initiation / ORF,1717
MLM / Sequence-constraint signal,1269
Regulatory / Expression,408
Other / Unclassified,342
Splicing,155
Nonsense / Truncation / NMD,13
Uncertain / Unknown,1
