primary_signal_mechanism,DISCORDANT,PARTIAL,CONCORDANT,NOT_APPLICABLE
MLM / Sequence-constraint signal,0.45817330210772833,0.11887587822014052,0.42295081967213116,0.0
Start codon / Initiation / ORF,0.06164021164021164,0.4542328042328042,0.48412698412698413,0.0
Benign / Neutral / None,0.4573643410852713,0.0,0.5426356589147286,0.0
Other / Unclassified,0.4844181459566075,0.1349112426035503,0.3806706114398422,0.0
Regulatory / Expression,0.2119487908961593,0.2901849217638691,0.49786628733997157,0.0
Splicing,0.0671785028790787,0.29750479846449135,0.6353166986564299,0.0
Uncertain / Unknown,0.8835616438356164,0.003424657534246575,0.11301369863013698,0.0
Nonsense / Truncation / NMD,0.025,0.325,0.65,0.0
