,"ALL
(n=22087)","ABSENT
(n=7363)","WEAK
(n=7755)","MODERATE
(n=6255)","STRONG
(n=714)"
GPN-MSA,0.05523036309858418,-0.12097220119509185,0.039033666921569024,0.0761663342245003,0.023446092798574618
CADD,-0.022056520738851396,-0.17541478248190115,-0.05136350378194513,-0.033571647736576636,0.06028189947052673
phyloP-100v,-0.047469647068171146,-0.1709273286383916,-0.0631781820188884,-0.040298322880286175,0.03108222811962523
phyloP-241m,0.03871957693698482,-0.13300248371213333,0.011443666957955519,0.09058816283901243,0.17218747666592554
phastCons-100v,-0.013541288353151456,-0.14473917012236237,-0.023955635826035097,-0.01289468369411433,0.041921918487197056
ESM-1b,0.027533036618461317,-0.15191472974956188,0.017705668690186693,0.03175955453479057,-0.046352692942381125
NT,0.18171894476777986,0.13984402882766972,0.18761757439431437,0.19781230047391202,0.08584037749517313
HyenaDNA,0.19385231803342973,0.1685215688556946,0.21792371089654347,0.20585095853607094,0.26926449202558006
