,"ALL
(n=22087)","ABSENT
(n=7363)","WEAK
(n=7755)","MODERATE
(n=6255)","STRONG
(n=714)"
LLR,-1.2967057547649325,-0.7964166228227623,-1.3363334632559505,-1.4918317381941977,-1.2236176660234426
GPN-MSA,-7.81640625,-6.19140625,-7.51953125,-8.5703125,-8.609375
CADD,-3.7225325,-2.983866,-3.633545,-3.938085,-4.0859135
phyloP-100v,-5.89900016784668,-3.8970000743865967,-5.625999927520752,-7.064500093460083,-5.690999984741211
phyloP-241m,-6.327000141143799,-4.959000110626221,-6.276000022888184,-7.01800012588501,-6.793499946594238
phastCons-100v,-1.0,-1.0,-1.0,-1.0,-1.0
ESM-1b,-10.584,-7.902,-10.274,-11.8335,-10.867
NT,-0.25428009033203125,-0.130706787109375,-0.2290496826171875,-0.3235931396484375,-1.3762359619140625
HyenaDNA,2.980232238769531e-07,2.980232238769531e-07,1.7881393432617188e-07,4.172325134277344e-07,5.960464477539063e-08
