,concordance,n,spearman_rho,cramers_v
0,DISCORDANT,1203,0.12425972680981011,0.2428714102782969
1,PARTIAL,886,-0.1665151755124324,0.13355888851415876
2,CONCORDANT,7650,0.36236919724935507,0.24060187674748854
3,NOT_APPLICABLE,0,,
