rationale_mechanism,count
Missense / Protein function,4525
Benign / Neutral / None,1389
Sequence constraint / Conservation,546
Other / Unclassified,475
Splicing,301
Start codon / Initiation / ORF,216
Regulatory / Transcriptional,131
Nonsense / Truncation / NMD,44
Pharmacogenomic,16
Uncertain / Unknown,5
Stop-loss / Protein extension,2
3' UTR,1
