rationale_mechanism,count
Missense / Protein function,687
Splicing,98
Regulatory / Transcriptional,35
Benign / Neutral / None,26
Other / Unclassified,24
Sequence constraint / Conservation,14
Start codon / Initiation / ORF,7
Nonsense / Truncation / NMD,3
Frameshift,1
