signal_category,ABSENT,WEAK,MODERATE,STRONG
ABSENT,0.0,0.02702702702702703,0.10631741140215717,0.005555555555555556
WEAK,0.19147005444646098,0.30290135396518375,0.22849083215796898,0.02631578947368421
MODERATE,0.7441860465116279,0.6255707762557078,0.13225255972696245,0.014925373134328358
STRONG,0.1111111111111111,0.1,0.008988764044943821,0.0
