signal_category,ABSENT,WEAK,MODERATE,STRONG
ABSENT,0.12144886363636363,0.3837837837837838,0.8135593220338984,0.9833333333333333
WEAK,0.029945553539019964,0.33152804642166345,0.7324870709920075,0.9695290858725761
MODERATE,0.1186046511627907,0.336986301369863,0.8383105802047781,0.98114689709348
STRONG,0.8888888888888888,0.8923076923076924,0.9730337078651685,1.0
