,concordance,n,spearman_rho,cramers_v
0,DISCORDANT,6841,0.11832771483230556,0.06965139039759083
1,PARTIAL,2992,-0.04450390433828681,0.2014342968990399
2,CONCORDANT,2289,0.6562182287754854,0.5103052697930393
3,NOT_APPLICABLE,0,,
